libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-2
libwacom 2.5.0-1
libwebp 1.2.4-1
libwmf 0.2.12-2
libwpd 0.10.3-4
libwpe 1.14.0-1
libwpg 0.3.3-4
libx11 1.8.2-2
libx86emu 3.5-2
libxau 1.0.10-2
libxaw 1.0.14-1
libxcb 1.15-2
libxcomposite 0.4.5-4
libxcrypt 4.4.33-1
libxcrypt-compat 4.4.33-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.5-5
libxdmcp 1.1.4-1
libxext 1.3.5-1
libxfixes 6.0.0-2
libxfont2 2.0.6-1
libxft 2.3.7-1
libxi 1.8-2
libxinerama 1.1.5-1
libxkbcommon 1.4.1-2
libxkbcommon-x11 1.4.1-2
libxkbfile 1.1.1-1
libxklavier 5.4-3
libxml2 2.10.3-2
libxmlb 0.3.10-1
libxmu 1.1.4-1
libxnvctrl 525.60.11-4
libxpm 3.5.14-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxres 1.2.1-1
libxshmfence 1.3.1-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzip 1.9.2-1
licenses 20220125-1
lilv 0.24.20-1
linux-api-headers 5.18.15-1
linux-firmware 20221109.60310c2-2
linux-firmware-whence 20221109.60310c2-2
linux515 5.15.81-1
linux515-nvidia 525.60.11-2
llvm 14.0.6-4
llvm-libs 14.0.6-4
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.29-1
logrotate 3.20.1-1
lsb-release 2.0.r48.3cf5103-1
lsof 4.96.4-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.1.0.beta3.r457.g637721d0-1
lv2 1.18.10-1
lvm2 2.03.17-1
lz4 1:1.9.4-1
lzo 2.10-4
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-5
man-db 2.11.1-1
man-pages 6.01-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.3.3-7
manjaro-base-skel 20171029-3
manjaro-browser-settings 20220522-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.7.0-1
manjaro-hotfixes 2018.08-6
manjaro-icons 20191015-1
manjaro-kde-settings 20220130-1
manjaro-keyring 20221028-4
manjaro-printer 20220924-1
manjaro-pulse 20221015-2
manjaro-release 22.0.0rc-1
manjaro-settings-manager 0.5.7-12
manjaro-settings-manager-kcm 0.5.7-12
manjaro-settings-manager-knotifier 0.5.7-12
manjaro-system 20220727-1
manjaro-zsh-config 0.24-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
memtest86+ 6.00-2
mesa 22.2.4-1
mesa-demos 8.5.0-2
mesa-utils 8.5.0-2
mesa-vdpau 22.2.4-1
mhwd 0.6.5-23
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 0.6.5-23
mhwd-nvidia 525.60.11-1
mhwd-nvidia-390xx 390.157-1
mhwd-nvidia-470xx 470.161.03-1
milou 5.26.4-1
minizip 1:1.2.13-2
mjpegtools 2.2.1-1
mkinitcpio 33-1
mkinitcpio-busybox 1.35.0-1
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20221107-1
modemmanager 1.20.2-1
modemmanager-qt 5.100.0-1
mpfr 4.1.1.p1-1
mpg123 1.31.1-1
mtdev 1.1.6-2
mtpfs 1.1-4
mypaint-brushes1 1.3.1-1
nano 7.0-1
nano-syntax-highlighting 2020.10.10+10+g1aa64a8-1
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
neon 0.32.4-2
nerd-fonts-noto-sans-mono 2.2.2-1
net-snmp 5.9.1-5
netpbm 10.73.41-1
nettle 3.8.1-1
networkmanager 1.40.6-1
networkmanager-l2tp 1.20.6-2
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.10.2-1
networkmanager-pptp 1.2.10-2
networkmanager-qt 5.100.0-1
networkmanager-vpnc 1.2.8-2
nfs-utils 2.6.2-1
nfsidmap 2.6.2-1
nftables 1:1.0.5-1
nmap 7.93-1
node-gyp 9.3.0-1
nodejs 19.2.0-1
nodejs-nopt 7.0.0-1
noto-fonts 20220810-1
noto-fonts-compat 20151217-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.85-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p15-2
numlockx 1.2-5
nvidia-prime 1.0-4
nvidia-utils 525.60.11-1
oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
okular 22.08.3-1
onlyoffice-desktopeditors 7.2.1-1
openal 1.22.2-1
openconnect 1:9.01-2
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-4
openpmix 4.2.2-1
openresolv 3.12.0-1
openssh 9.1p1-3
openssl 3.0.7-2
openvpn 2.5.8-2
optimus-manager 1.4+r12-2
optimus-manager-qt 1.6.9-1
opus 1.3.1-3
orc 0.4.33-1
